block,timestamp,blocktime,transactions,tps,events
79,1708563792032,30.003,2,0.06666000066660001,2
80,1708563810031,17.999,2,0.11111728429357187,2
81,1708563846032,36.001,2,0.055554012388544766,2
82,1708563858029,11.997,2,0.16670834375260482,2
83,1708563888032,30.003,2,0.06666000066660001,2
84,1708563900025,11.993,2,0.16676394563495373,2
85,1708563936028,36.003,2,0.055550926311696246,2
86,1708563948036,12.008,2,0.16655562958027983,2
87,1708563990036,42,2,0.047619047619047616,2
88,1708564002029,11.993,2,0.16676394563495373,2
89,1708564038031,36.002,2,0.0555524693072607,2
90,1708564050033,12.002,2,0.16663889351774702,2
91,1708564080029,29.996,2,0.06667555674089878,2
92,1708564092028,11.999,533,44.42036836403033,2126
93,1708564128028,36,899,24.97222222222222,3590
94,1708564146029,18.001,607,33.72034886950725,2461
95,1708564176026,29.997,884,29.46961362802947,3569
96,1708564194029,18.003,583,32.38349164028217,2365
97,1708564230037,36.008,891,24.744501221950674,3597
98,1708564272028,41.991,870,20.718725441165965,3552
99,1708564290033,18.005,589,32.71313524021105,2389
100,1708564326033,36,466,12.944444444444445,1897
101,1708564338029,11.996,391,32.59419806602201,1597
102,1708564368028,29.999,2,0.06666888896296544,41
103,1708564380030,12.002,483,40.24329278453591,1965
104,1708564416027,35.997,2,0.055560185571019806,41
105,1708564428028,12.001,518,43.163069744187986,2105
106,1708564470037,42.009,2,0.04760884572353543,41
107,1708564482027,11.99,528,44.03669724770642,2145
108,1708564512028,30.001,2,0.06666444451851605,41
109,1708564530032,18.004,598,33.214841146411906,2425
110,1708564560029,29.997,2,0.06667333400006667,41
111,1708564572028,11.999,523,43.586965580465034,2125
112,1708564608029,36.001,2,0.055554012388544766,41
113,1708564620029,12,576,48,2337
114,1708564656027,35.998,2,0.055558642146785936,41
115,1708564668029,12.002,95,7.915347442092984,413
116,1708564710037,42.008,2,0.047609979051609214,41
117,1708564722033,11.996,2,0.16672224074691563,41
118,1708564752029,29.996,2,0.06667555674089878,41
119,1708564770035,18.006,2,0.11107408641563923,41
120,1708564800027,29.992,2,0.06668444918644972,41
121,1708564812031,12.004,2,0.16661112962345886,41
122,1708564848028,35.997,2,0.055560185571019806,41
123,1708564860030,12.002,2,0.16663889351774702,2
